drug_id	gene_family	description	reference
HMSL10230	IGD	Immunoglobulin superfamily / Immunoglobulin-like domain containing	hgnc
HMSL10230	CD	CD molecules	hgnc
HMSL10231			
HMSL10232			
HMSL10233			
HMSL10234			
HMSL10235			
HMSL10236			
HMSL10237			
HMSL10238			
HMSL10239			
HMSL10240			
HMSL10241			
HMSL10242			
HMSL10243			
HMSL10244			
HMSL10245			
HMSL10246			
HMSL10247			
HMSL10248			
HMSL10249			
HMSL10250			
HMSL10251			
HMSL10252			
HMSL10253			
HMSL10255			
HMSL10257			
HMSL10258			
HMSL10259			
HMSL10260	KIF	Kinesins	hgnc
HMSL10261			
HMSL10262			
HMSL10263			
HMSL10264			
HMSL10265			
HMSL10266			
HMSL10267			
HMSL10268			
HMSL10269			
HMSL10270			
HMSL10271			
HMSL10272			
HMSL10273			
HMSL10274			
HMSL10275	NR	Nuclear hormone receptors	hgnc
HMSL10276			
HMSL10277			
HMSL10278			
HMSL10279			
HMSL10280			
HMSL10281			
HMSL10282			
HMSL10283			
HMSL10284			
HMSL10285			
HMSL10286			
HMSL10287	CDK	Cyclin-dependent kinases	hgnc
HMSL10288			
HMSL10289			
HMSL10290			
HMSL10291			
HMSL10292			
HMSL10293			
HMSL10294			
HMSL10295			
HMSL10296			
HMSL10297			
HMSL10298			
HMSL10299			
HMSL10300			
HMSL10301			
HMSL10302			
HMSL10303	PARP	Poly (ADP-ribose) polymerases	hgnc
HMSL10304	PARP	Poly (ADP-ribose) polymerases	hgnc
HMSL10305			
HMSL10306			
HMSL10307			
HMSL10308			
HMSL10309			
HMSL10310			
HMSL10311			
HMSL10312			
HMSL10313			
HMSL10314			
HMSL10315			
HMSL10316			
HMSL10317			
HMSL10318			
HMSL10319			
HMSL10320			
HMSL10321			
HMSL10322			
HMSL10323			
HMSL10324			
HMSL10325			
HMSL10326			
HMSL10327			
HMSL10328			
HMSL10329			
HMSL10331			
HMSL10332			
HMSL10333			
HMSL10334			
HMSL10335			
HMSL10337			
HMSL10338			
HMSL10339			
HMSL10343			
HMSL10344			
HMSL10345			
HMSL10346			
HMSL10347			
HMSL10348			
