drug_id	protein_id	protein_moniker	reference
HMSL10127	Q59F04	Q59F04_HUMAN	kegg
HMSL10127	P11362	FGFR1_HUMAN	kegg
HMSL10127	P21802	FGFR2_HUMAN	kegg
HMSL10127	D2CGD1	D2CGD1_HUMAN	kegg
HMSL10127	P22607	FGFR3_HUMAN	kegg
HMSL10127	Q0IJ44	Q0IJ44_HUMAN	kegg
HMSL10128			
HMSL10129			
HMSL10130	P10721	KIT_HUMAN	kegg
HMSL10131	P08581	MET_HUMAN	kegg
HMSL10132			
HMSL10133	P00533	EGFR_HUMAN	kegg
HMSL10133	P04626	ERBB2_HUMAN	kegg
HMSL10134			
HMSL10136			
HMSL10137			
HMSL10138	P23458	JAK1_HUMAN	kegg
HMSL10138	O60674	JAK2_HUMAN	kegg
HMSL10139			
HMSL10140			
HMSL10141			
HMSL10142			
HMSL10143			
HMSL10144	P09874	PARP1_HUMAN	kegg
HMSL10145	P09874	PARP1_HUMAN	kegg
HMSL10145	Q9UGN5	PARP2_HUMAN	kegg
HMSL10146			
HMSL10147			
HMSL10148			
HMSL10149			
HMSL10150	P41240	CSK_HUMAN	kegg
HMSL10150	A8K3B6	A8K3B6_HUMAN	kegg
HMSL10150	B2R6Q4	B2R6Q4_HUMAN	kegg
HMSL10150	P00519	ABL1_HUMAN	kegg
HMSL10150	Q59FK4	Q59FK4_HUMAN	kegg
HMSL10151			
HMSL10152			
HMSL10153			
HMSL10154			
HMSL10155			
HMSL10156			
HMSL10157	P35968	VGFR2_HUMAN	kegg
HMSL10157	P08581	MET_HUMAN	kegg
HMSL10158			
HMSL10159	P00533	EGFR_HUMAN	kegg
HMSL10160			
HMSL10161			
HMSL10162			
HMSL10163			
HMSL10164			
HMSL10165			
HMSL10166			
HMSL10167			
HMSL10168			
HMSL10169	Q16539	MK14_HUMAN	kegg
HMSL10169	L7RSM2	L7RSM2_HUMAN	kegg
HMSL10169	P53778	MK12_HUMAN	kegg
HMSL10170			
HMSL10171			
HMSL10172			
HMSL10173			
HMSL10174			
HMSL10175	P09603	CSF1_HUMAN	kegg
HMSL10175	P36888	FLT3_HUMAN	kegg
HMSL10175	P16234	PGFRA_HUMAN	kegg
HMSL10175	P09619	PGFRB_HUMAN	kegg
HMSL10175	Q59F04	Q59F04_HUMAN	kegg
HMSL10175	P07949	RET_HUMAN	kegg
HMSL10175	Q9BTX6	Q9BTX6_HUMAN	kegg
HMSL10175	P17948	VGFR1_HUMAN	kegg
HMSL10175	L7RSL3	L7RSL3_HUMAN	kegg
HMSL10175	P35968	VGFR2_HUMAN	kegg
HMSL10175	P35916	VGFR3_HUMAN	kegg
HMSL10175	P10721	KIT_HUMAN	kegg
HMSL10176			
HMSL10177	P35968	VGFR2_HUMAN	kegg
HMSL10177	P11362	FGFR1_HUMAN	kegg
HMSL10177	P21802	FGFR2_HUMAN	kegg
HMSL10177	D2CGD1	D2CGD1_HUMAN	kegg
HMSL10178			
HMSL10179			
HMSL10180			
HMSL10181			
HMSL10182	P17948	VGFR1_HUMAN	kegg
HMSL10182	L7RSL3	L7RSL3_HUMAN	kegg
HMSL10182	P35968	VGFR2_HUMAN	kegg
HMSL10182	P35916	VGFR3_HUMAN	kegg
HMSL10182	P16234	PGFRA_HUMAN	kegg
HMSL10182	P09619	PGFRB_HUMAN	kegg
HMSL10182	Q59F04	Q59F04_HUMAN	kegg
HMSL10182	P09603	CSF1_HUMAN	kegg
HMSL10183			
HMSL10184			
HMSL10185			
HMSL10186			
HMSL10187			
HMSL10188			
HMSL10189	P00519	ABL1_HUMAN	kegg
HMSL10189	Q59FK4	Q59FK4_HUMAN	kegg
HMSL10189	P12931	SRC_HUMAN	kegg
HMSL10190			
HMSL10191			
HMSL10192			
HMSL10193			
HMSL10194	P16234	PGFRA_HUMAN	kegg
HMSL10194	P09619	PGFRB_HUMAN	kegg
HMSL10194	Q59F04	Q59F04_HUMAN	kegg
HMSL10194	P07949	RET_HUMAN	kegg
HMSL10194	Q9BTX6	Q9BTX6_HUMAN	kegg
HMSL10194	P17948	VGFR1_HUMAN	kegg
HMSL10194	L7RSL3	L7RSL3_HUMAN	kegg
HMSL10194	P35968	VGFR2_HUMAN	kegg
HMSL10194	P35916	VGFR3_HUMAN	kegg
